nhom_bds_lon,nhom_bds,loai_bds,quan_huyen,ten_duong,dia_chi,gia(ty),trieu/m2,dien_tich(m2),ngang (m),doc (m),huong,phap_ly,so_tang,so_phong_ngu,so_wc,tieu_de,nguon
Nhà,Biệt thự/Nhà liền kề,"Biệt thự, nhà liền kề",Thành phố Quy Nhơn,Không rõ,Không rõ,12.0,48.0,250.0,7.0,20.0,Tây,Đang cập nhật,3,5,4,Bán nhiều lô đất khu biệt thự đại phú gia - 225 m². đơn giá 45 -50tr/m2 tùy vị trí - sổ sẵn,https://alonhadat.com.vn/-cho-thue-can-ho-vina2-khong-gian-song-ly-tuong-san-sang-don-vao-ban-dang-tim-mo-17559775.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Điện Biên Phủ,Đường Điện Biên Phủ - quy nhơn ! hôm nay • vị trí kinh doanh thuộc khu đô thị hiện đại đồng bộ toàn nhà cao tầng - bề ngang rộng - mặt tiền đường Điện Biên Phủ thành phố quy nhơn ! • vị trí thuộc lõi trung tâm của thành phố • nằm trên trục đường chính kết...... << xem chi tiết >> 40m4 tầng4 phòng ngủchỗ để xe giá: 8,8.7,63.503649635036496,137.0,7.2,19.0,Tây,Đang cập nhật,5,4,3,Nhà 3.5 tầng mặt tiền kinh doanh đường Điện Biên Phủ - quy nhơn !,https://alonhadat.com.vn/nha-3-5-tang-mat-tien-kinh-doanh-duong-dien-bien-phu-quy-nhon--18676141.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Nguyễn Thái Học,Đường Nguyễn Thái Học,2.49,52.97872340425532,47.0,4.5,13.0,Chưa xác định,Đang cập nhật,2,2,3,"Chính chủ bán nhà Nguyễn Thái Học, phường. Ngô Mây, bình định. diện tích 47 m², giá 2 tỷ 490",https://alonhadat.com.vn/chinh-chu-ban-nha-nguyen-thai-hoc-p-ngo-may-binh-dinh-dt-47m2-gia-2-ty-490-18661146.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Lê Duẩn,Đường Lê Duẩn,3.65,38.020833333333336,96.0,8.0,12.0,Tây,Đang cập nhật,36,3,2,"Bán căn hộ the sailing quy nhơn, loại căn hộ 3 phòng ngủ, diện tích 96 m².",https://alonhadat.com.vn/ban-can-ho-the-sailing-quy-nhon-loai-can-ho-3-phong-ngu-dien-tich-96m2--14878768.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Thành phố Quy Nhơn,N1,Đường N1,2.29,25.444444444444443,90.0,6.0,15.0,Nam,Đang cập nhật,0,0,0,"Mở bán đất eo gió - nhơn lý. khu dân cư suối cả,nhơn lý giá 2 tỷ 290",https://alonhadat.com.vn/-mo-ban-lo-2-1-dat-eo-gio-nhon-ly-khu-dan-cu-suoi-ca-doi-dien-flc-nhon-ly-18585727.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Trần Hưng Đạo,Đường Trần Hưng Đạo,16.5,65.47619047619048,252.0,7.5,36.3,Chưa xác định,Đang cập nhật,1,2,3,"Bán căn nhà mặt tiền đường Trần Hưng Đạo, phường Đống Đa, quy nhơn. diện tích đất 252 m².",https://alonhadat.com.vn/ban-can-nha-mat-tien-duong-tran-hung-dao-phuong-dong-da-quy-nhon-dien-tich-dat-252m2--17687228.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Xuân Diệu,Đường Xuân Diệu view trực diện b hôm nay bán căn nhà cấp 4,20.0,198.01980198019803,101.0,6.5,15.5,Đông,Đang cập nhật,1,1,3,"Bán căn nhà cấp 4, vị trí đắc địa nhất quy nhơn, mặt tiền đường Xuân Diệu view trực diện b",https://alonhadat.com.vn/ban-can-nha-cap-4-vi-tri-dac-dia-nhat-quy-nhon-mat-tien-duong-xuan-dieu-view-truc-dien-b-17716406.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Trần Thị Kỷ,Đường Trần Thị Kỷ,3.05,67.77777777777777,45.0,3.4,13.0,Chưa xác định,Sổ đỏ,2,2,2,Nhà ôm góc hẻm - phường. quy nhơn nam - gần chợ khu 6 - 2 tầng - hẻm 3 m - 45m23 tỷ 050tr,https://alonhadat.com.vn/-nha-om-goc-hem-p-quy-nhon-nam-gan-cho-khu-6-2-tang-hem-3m-45m2-3-ty-050tr-18372466.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Nguyễn Nhạc,Đường Nguyễn Nhạc,11.0,79.71014492753623,138.0,6.0,24.0,Chưa xác định,Đang cập nhật,2,6,3,"Bán căn nhà cực đẹp mặt tiền đường Nguyễn Nhạc, thành phố quy nhơn, tỉnh bình định",https://alonhadat.com.vn/ban-can-nha-2-tang-cuc-dep-mat-tien-duong-nguyen-nhac-thanh-pho-quy-nhon-tinh-binh-dinh-13646377.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Huỳnh Tấn Phát,Đường Nội Bộ Huỳnh Tấn Phát,3.7,78.72340425531915,47.0,4.5,13.0,Đông,Đang cập nhật,3,3,3,Bán nhà 3 mê mới xây mặt tiền đg 12 m gần cầu chữ y hà thanh 1 diện tích 47 m² giá 3ty700,https://alonhadat.com.vn/ban-nha-3-me-moi-xay-mat-tien-dg-12m-gan-cau-chu-y-ha-thanh-1-dt-47m2-gia-3ty700-18254567.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Hải Thượng Lãn Ông,Đường Hải Thượng Lãn Ông,6.6,115.78947368421052,57.0,4.5,13.0,Chưa xác định,Đang cập nhật,3,12,3,"Bán homestay sau 1 căn mặt tiền gần biển quy nhơn, cách biển 70 m, 3me giá giảm mạnh 6tyxxx",https://alonhadat.com.vn/ban-homestay-sau-1-can-mat-tien-gan-bien-quy-nhon-cach-bien-70m-3me-gia-giam-manh-6tyxxx-13253151.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Nguyễn Thái Học,Đường Nguyễn Thái Học,1.3,22.80701754385965,57.0,8.0,7.0,Đông,Đang cập nhật,17,2,2,Bán căn hộ thịnh phát tower - trung tâm thành phố quy nhơn !,https://alonhadat.com.vn/can-sang-nhuong-lai-can-ho-chung-cu-thinh-phat-tower-trung-tam-tp-quy-nhon--5238787.html
Nhà,Biệt thự/Nhà liền kề,"Biệt thự, nhà liền kề",Thành phố Quy Nhơn,Hoài Thanh,Đường Hoài Thanh,14.0,116.66666666666667,120.0,8.6,18.0,Đông,Đang cập nhật,4,15,4,"Mở bán căn góc 04 mê mặt tiền đường Hoài Thanh, thành phố . quy nhơn .",https://alonhadat.com.vn/ban-nha-04-tang-mat-tien-duong-luu-quang-vu-khu-dt-an-phuoc-tp-quy-nhon-15663450.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Thành phố Quy Nhơn,Nguyễn Diêu,Đường Nguyễn Diêu,3.25,31.862745098039216,102.0,6.0,17.0,Chưa xác định,Đang cập nhật,0,0,0,Bán lô đất vip - mặt tiền Nguyễn Diêu - chợ dinh,https://alonhadat.com.vn/ban-lo-dat-vip-mat-tien-nguyen-dieu-cho-dinh-18442234.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Không rõ,Đường ngay vòng xoay sầm uất nhộn nhịp,1.38,27.6,50.0,0.0,0.0,Chưa xác định,Đang cập nhật,41,1,2,"Bán lỗ căn hộ grand center quy nhơn, sở hữu lâu dài, tiện ích đẳng cấp",https://alonhadat.com.vn/ban-lo-can-ho-grand-center-quy-nhon-so-huu-lau-dai-tien-ich-dang-cap-13791562.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Thị xã An Nhơn,Cần Vương,Đường Cần Vương,1.9,19.0,100.0,5.0,20.0,Chưa xác định,Đang cập nhật,0,0,0,"Bán đất khu đô thị tân an reverside an nhơn. diện tích 100 m². lộ giới 18 m, trục chính.",https://alonhadat.com.vn/ban-dat-khu-do-thi-tan-an-reverside-an-nhon-dien-tich-100m2-lo-gioi-18m-truc-chinh--18349394.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Nguyễn Thái Học,Đường Nguyễn Thái Học,3.45,55.645161290322584,62.0,5.0,18.0,Chưa xác định,Đang cập nhật,3,3,3,"Bán nhà 3 mê hẻm cạn nguyễn thái phường. nguyễn văn cừ quy nhơn, 44 m², giá giảm sâu 3 tỷ 4xz",https://alonhadat.com.vn/chinh-chu-ban-nha-mat-tien-phuong-quy-nhon-62m-chi-3ty-xyz-lo-gioi-14m-view-cong-vien-17642192.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Trần Hưng Đạo,Đường Trần Hưng Đạo,2.2,33.84615384615385,65.0,0.0,0.0,Chưa xác định,Sổ hồng,2,2,2,"Chủ bán nhanh căn hộ altara view biển, full nội thất 2pn 65 m² tầng 19. 2,2 tỷ, sổ hồng",https://alonhadat.com.vn/chu-ban-nhanh-can-ho-altara-view-bien-full-noi-that-2pn-65m2-tang-19-2-4-ty-so-hong-12231157.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Trần Lương,Đường Trần Lương 102 m² hôm nay 🌈🌈bán nhà mặt tiền đường Trần Lương – phường. nguyễn văn cừ,7.0,68.62745098039215,102.0,4.0,25.0,Đông,Đang cập nhật,3,2,3,Bán nhà mặt tiền đường Trần Lương 102 m²,https://alonhadat.com.vn/ban-nha-3-tang-duong-tran-ky-phong-gan-duong-chang-lia-ben-hong-chung-cu-long-thinh-73m2-8422614.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Trần Phú,Đường Trần Độc – phường Trần Phú - diện tích 74 m² - giá 8 tỷ 380tr hôm nay ✨ bán nhà mê lỡ mặt tiền đường Trần Độc – phường Trần Phú – thành phố. quy nhơn vị trí đắt giá – khu phố ẩm thực – sát biển – trung tâm thành phố! ✅ thông tin chi tiết: • diện tích: 73m² (ngang 4 m – vuông vức,8.38,114.79452054794521,73.0,4.0,18.5,Tây,Đang cập nhật,3,2,3,Bán nhà mê lỡ mặt tiền đường Trần Độc – phường Trần Phú - diện tích 74 m² - giá 8 tỷ 380tr,https://alonhadat.com.vn/can-ban-nha-2-tang-mat-tien-no-trang-long-dt-118m2-ngang-6m-15251085.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Điện Biên Phủ,Đường Điện Biên Phủ,0.74,22.424242424242426,33.0,4.0,9.0,Chưa xác định,Đang cập nhật,8,1,2,Tổng hợp các căn hộ cắt lỗ tại chung cư ecolife thành phố quy nhơn giá chỉ từ 740 triệu/căn,https://alonhadat.com.vn/tong-hop-cac-can-ho-cat-lo-tai-chung-cu-ecolife-tp-quy-nhon-gia-chi-tu-740-trieu-can-18195713.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Huyện Phù Cát,Tỉnh lộ 639,Đường ĐT639,8.25,20.99236641221374,393.0,16.0,25.0,Chưa xác định,Đang cập nhật,0,0,0,"Cần bán lô đất 2 mặt tiền vị trí đắc địa nhất: mặt tiền diện tích 639, thôn tân thanh, cát hải,",https://alonhadat.com.vn/minh-chinh-chu-can-ban-lo-dat-mat-tien-duong-15m-cach-bien-chi-300m-o-xa-cat-hai--16371757.html
Nhà,Biệt thự/Nhà liền kề,"Biệt thự, nhà liền kề",Thành phố Quy Nhơn,Không rõ,Không rõ,10.0,49.75124378109453,201.0,10.0,20.0,Chưa xác định,Đang cập nhật,3,5,4,Bán nhanh các căn biệt thự trong khu đô thị đại phú gia,https://alonhadat.com.vn/ban-nhanh-cac-can-biet-thu-trong-khu-do-thi-dai-phu-gia-14222637.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Thành phố Quy Nhơn,Không rõ,Không rõ,7.8,31.9672131147541,244.0,19.4,12.7,Đông,Đang cập nhật,0,0,0,Mở bán 4 lô liền kề mặt biển tại làng chài nhơn hải - quy nhơn - giá rẻ,https://alonhadat.com.vn/mo-ban-4-lo-lien-ke-mat-bien-tai-lang-chai-nhon-hai-quy-nhon-gia-re-18552992.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Hùng Vương,Đường Hùng Vương,1.75,43.75,40.0,4.5,9.0,Chưa xác định,Đang cập nhật,2,2,2,"Bán nhà hẻm cạn rộng Hùng Vương nhơn phú 40 m² ngang4,5 m giá mềm cho zkck trẻ 1 tê xyz +nhà",https://alonhadat.com.vn/ban-nha-hem-can-rong-hung-vuong-nhon-phu-40m2-ngang4-5m-gia-mem-cho-zkck-tre-1-te-xyz-nha-18709698.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Huyện Phù Cát,Không rõ,Không rõ,1.6,14.285714285714286,112.0,5.0,18.0,Nam,Đang cập nhật,0,0,0,"Bán đất thị trấn cát tiến, huyện phù cát, tỉnh bình định.",https://alonhadat.com.vn/ban-dat-thi-tran-cat-tien-huyen-phu-cat-tinh-binh-dinh--14481310.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Huyện Phù Cát,Nguyễn Nhạc,Đường Nguyễn Nhạc,2.8,26.923076923076923,104.0,4.0,26.0,Chưa xác định,Đang cập nhật,0,0,0,"Bán đất mặt tiền đường Nguyễn Nhạc, trục đường lớn nhất giá trí nhất ven Biển Cát tiến.",https://alonhadat.com.vn/ban-dat-mat-tien-duong-nguyen-nhac-truc-duong-lon-nhat-gia-tri-nhat-ven-bien-cat-tien--17908413.html
Nhà,Biệt thự/Nhà liền kề,"Biệt thự, nhà liền kề",Thành phố Quy Nhơn,Long Vân,Đường Long Vân - long mỹ view nhánh sông hà thanh,4.579,45.79,100.0,5.0,20.0,Chưa xác định,Đang cập nhật,5,5,4,"Cực hiếm, cần bán nhà 2 mặt tiền view sông trung tâm thành phố. quy nhơn, gần dự án fpt",https://alonhadat.com.vn/cuc-hiem-can-ban-nha-2-mat-tien-view-song-trung-tam-tp-quy-nhon-gan-du-an-fpt-16593072.html
Đất,Đất nền/Đất ở,Đất nền/liền kề/đất dự án,Huyện Phù Cát,Hoàng Sa,Đường Hoàng Sa,10.0,31.25,320.0,16.0,20.0,Đông,Đang cập nhật,0,0,0,Bán đất liền kề khu đô thị cát tiến và cát hải 320 m² và 400 m²,https://alonhadat.com.vn/ban-2-lo-dat-lien-ke-khu-do-thi-cat-tien-mat-tien-duong-hoang-sa-17278642.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Ngô Đức Đệ,Đường Ngô Đức Đệ diện tích: 44 m² ngang 4 m hướng tây nam kết cấu: nhà 3 tầng,3.65,82.95454545454545,44.0,4.0,11.0,Tây,Đang cập nhật,3,3,3,Bán nhà 3 tầng hẻm Ngô Đức Đệ 44 m²,https://alonhadat.com.vn/ban-nha-3-tang-hem-ngo-duc-de-44m2-18480730.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Không rõ,Không rõ,5.95,80.4054054054054,74.0,4.5,13.0,Chưa xác định,Đang cập nhật,1,2,3,"Bán nhà mặt tiền trung tâm gần Lý Thường Kiệt, Trần Phú, biển quy nhơn 74 m² 5ty xyz",https://alonhadat.com.vn/ban-dat-mat-tien-le-thi-rieng-gan-khu-du-lich-bien-han-mac-tu-cho-ghenh-rang-quy-nhon-80m2-16144801.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Nguyễn Trung Ngạn,Đường Nguyễn Trung Ngạn 76 m² hôm nay bán nhà mặt tiền đường Nguyễn Trung Ngạn diện tich: 76 m² ngang 4,9.99,131.44736842105263,76.0,4.9,15.5,Nam,Đang cập nhật,4,3,3,Bán nhà mặt tiền đường Nguyễn Trung Ngạn 76 m²,https://alonhadat.com.vn/ban-lo-dat-mat-tien-duong-nguyen-huu-than-90m2-song-song-voi-duong-nguyen-dieu-8390344.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Nguyễn Thái Học,Đường Nguyễn Thái Học,3.2,69.56521739130434,46.0,3.4,12.4,Đông,Đang cập nhật,1,3,3,"Bán nhà 1 mê hẻm cạn Nguyễn Thái Học, hẻm rộng 3 m - diện tích 46 m² ngang 3,4 m - huyện.đông bắc",https://alonhadat.com.vn/-ban-nha-1-me-hem-can-nguyen-thai-hoc-hem-rong-3m-dt-46m2-ngang-3-4m-h-dong-bac-18518975.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Hoàng Văn Thụ,Đường Hoàng Văn Thụ,2.55,63.75,40.0,4.0,10.0,Tây,Đang cập nhật,1,2,2,"Bán nhà hẻm 3 m Hoàng Văn Thụ,ngay chợ khu 6,nhà thuốc Ngô Mây, 1 mê mới,40 m2",https://alonhadat.com.vn/ban-nha-nha-c4-dia-chi-so-14-mat-tien-thanh-nien-gan-khu-do-thi-an-phu--17698198.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Nguyễn Văn Hiển,Đường Nguyễn Văn Hiển,6.0,46.875,128.0,5.6,18.9,Tây,Đang cập nhật,3,4,3,Bán nhà 3 tầng hẻm nội bộ Nguyễn Văn Hiển – sát biển Chương Dương,https://alonhadat.com.vn/-ban-nha-3-tang-hem-noi-bo-nguyen-van-hien-sat-bien-chuong-duong-18437597.html
Nhà,Biệt thự/Nhà liền kề,"Biệt thự, nhà liền kề",Thành phố Quy Nhơn,Long Vân,Đường Long Vân - long mỹ 24/05/2026 5 suất ngoại giao dự án solera quy nhơn mở bán giai đoạn f0 trực tiếp chủ đầu tư nhanh tay sở hữu những căn shophouse tại solera quy nhơn,4.6,46.0,100.0,5.0,20.0,Chưa xác định,Đang cập nhật,5,6,4,"5 suất nội bộ solera quy nhơn ưu đãi trực tiếp từ chủ đầu tư, mặt tiền đường Long Vân - long mỹ",https://alonhadat.com.vn/5-suat-noi-bo-solera-quy-nhon-uu-dai-truc-tiep-tu-chu-dau-tu-mt-duong-long-van-long-my-16608311.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Lê Lợi,Đường Lê Lợi 54 m² và 45 m² hôm nay 👉👉 căn 1: nhà 2 tầng 2 mặt hẻm trước sau gần khách sạn công đoàn diện tích: 54 m² ngang 5 m nhà còn mới,3.15,57.27272727272727,55.0,5.0,10.8,Chưa xác định,Đang cập nhật,2,2,3,Bán nhà hẻm cạn đường Lê Lợi 54 m² và 45 m²,https://alonhadat.com.vn/ban-dat-goc-2-mat-tien-duong-bui-duc-son-va-vu-dinh-huan-72m2-15759406.html
Đất,Đất nền/Đất ở,Đất nền/liền kề/đất dự án,Thành phố Quy Nhơn,Không rõ,Đường a4 rộng 15 m thuộc khu tđc đê đông nhơn bình,2.57,42.833333333333336,60.0,4.0,15.0,Đông,Đang cập nhật,0,0,0,"Bán đất khu tđc đê đông, phường nhơn bình. diện tích đa dạng. giá tốt nhất.",https://alonhadat.com.vn/can-ban-can-nha-mat-tien-duong-nguyen-beo-phuong-dong-da-thanh-pho-quy-nhon--14882499.html
Nhà,Biệt thự/Nhà liền kề,"Biệt thự, nhà liền kề",Thành phố Quy Nhơn,Chế Lan Viên,Đường Chế Lan Viên,5.6,62.22222222222222,90.0,4.5,20.0,Chưa xác định,Đang cập nhật,3,4,4,"Nhà đất xây sẵn, đất nền cách biển 300 m, sở hữu lâu dài, tiện ích đẳng cấp",https://alonhadat.com.vn/nha-dat-xay-san-cach-bien-300m-so-huu-lau-dai-tien-ich-dang-cap-13764862.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Huyện Tuy Phước,Không rõ,Không rõ,1.2,12.0,100.0,5.0,20.0,Bắc,Sổ đỏ,0,0,0,"Bán đất khu dân cư gần Quốc Lộ 19, xã phước lộc. giá rẻ nhất khu vực.",https://alonhadat.com.vn/ban-08-lo-lien-ke-thuoc-khu-dan-cu-mat-tien-quoc-lo-19-thuoc-xa-phuoc-loc-17096701.html
Đất,Đất nền/Đất ở,Đất nền/liền kề/đất dự án,Huyện Tuy Phước,Không rõ,Đường thông thoán...... << xem chi tiết >> 14 m giá: 1,1.32,13.2,100.0,5.0,20.0,Tây,Đang cập nhật,0,0,0,"Cần bán gấp lô đất diện tích 100 m² thôn hanh quang,tuy phước, gia lai",https://alonhadat.com.vn/-can-ban-gap-lo-dat-dt-100m2-thon-hanh-quang-tuy-phuoc-gia-lai-17787235.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Trần Hưng Đạo,Đường Trần Hưng Đạo,1.8,29.032258064516128,62.0,0.0,0.0,Đông,Đang cập nhật,40,2,2,"Cần tiền bán căn hộ altara ngay biển quy nhơn, 62 m² giá 1ty8 full nội thất cao cấp",https://alonhadat.com.vn/can-tien-ban-can-ho-altara-ngay-bien-quy-nhon-62m2-gia-1ty7-full-noi-that-cao-cap-13672210.html
Nhà,Biệt thự/Nhà liền kề,"Biệt thự, nhà liền kề",Thành phố Quy Nhơn,Số 4,Đường Số 4,10.5,52.5,200.0,9.0,22.0,Tây,Đang cập nhật,3,3,4,Chủ kẹt giảm sâu nhà biệt thự 3 tầng khu biệt thự đại phú gia - diện tích 200 m² ngang 9 m,https://alonhadat.com.vn/can-ban-lo-dat-goc-2-mat-tien-duong-le-thanh-nghi-ta-quang-buu-dt-132m2-ngang-9m-14184683.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Lê Đức Thọ,Đường Lê Đức Thọ,1.986,30.553846153846155,65.0,8.0,9.0,Đông,Đang cập nhật,16,2,2,Căn hộ phú tài residence giá chỉ 1 tỷ 986 triệu / căn 2pn full nội thất cơ bản !!!,https://alonhadat.com.vn/can-ho-phu-tai-residence-gia-chi-1-ty-8-can-2pn-full-noi-that-co-ban--15952638.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Thành phố Quy Nhơn,Không rõ,Đường a5. nối liền chung cư lammer và dự án phú gia royal pak diện tích: 100 m² ngang 5 m sạch đẹp,3.9,39.0,100.0,5.0,20.0,Tây,Sổ đỏ,0,0,0,Hàng hiếm giá rẻ 1 lô duy nhất. gara quyền a5. diện tích: 100 m² ngang 5 m giá chốt 3tỷ9,https://alonhadat.com.vn/hang-hiem-gia-re-1-lo-duy-nhat-gara-quyen-a5-dt-100m2-ngang-5m-gia-chot-3ty950-18676062.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Trần Anh Tông,Đường Trần Anh Tông,9.9,116.47058823529412,85.0,5.0,17.0,Đông,Đang cập nhật,1,1,3,Hạ nhiệt - chốt lỗ đất mtkd 85 m² - gần Chương Dương - chỉ 300 m ra biển - hướng đông nam,https://alonhadat.com.vn/ha-nhiet-chot-lo-dat-mtkd-85m2-gan-chuong-duong-chi-300m-ra-bien-huong-dong-nam-18692295.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Lê Duẩn,Đường Lê Duẩn,3.3,54.09836065573771,61.0,9.0,10.0,Đông,Đang cập nhật,36,3,2,Quỹ căn nội bộ the sailing quy nhơn - trực biển,https://alonhadat.com.vn/ban-lo-can-goc-truc-bien-the-sailing-quy-nhon-3pn-91m2-15125731.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Huỳnh Thị Đào,Đường Huỳnh Thị Đào 81 m² hôm nay 💚 bán nhà kinh doanh 3 mê siêu đẹp (diện tích lớn) mặt tiền chợ Điện Biên Phủ. địa chỉ đặt tiền đường Huỳnh Thị Đào. giá 5 tỷ 6 💚 diện tích 81 m2 (ngang 4,5.6,69.1358024691358,81.0,4.5,18.0,Tây,Đang cập nhật,3,4,3,Bán nhà mặt tiền đường Huỳnh Thị Đào 81 m²,https://alonhadat.com.vn/ban-nha-mat-tien-duong-huynh-thi-dao-81m2-18221864.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Ngô Đức Đệ,Đường Ngô Đức Đệ,3.65,82.95454545454545,44.0,4.0,11.0,Chưa xác định,Đang cập nhật,4,4,3,"Chính chủ bán nhà 3,5 mê xây ở kiên cố gần flc tower trung tâm biển quy nhơn giá chỉ 3 tyx",https://alonhadat.com.vn/chinh-chu-ban-nha-3-5-me-xay-o-kien-co-gan-flc-tower-trung-tam-bien-quy-nhon-gia-chi-3-tyx-18597595.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Trần Hưng Đạo,Đường Trần Hưng Đạo trung tâm quy nhơn. giá tốt nhất hôm nay bán căn nhà mặt tiền đường Trần Hưng Đạo,16.5,65.47619047619048,252.0,7.5,36.3,Chưa xác định,Đang cập nhật,1,2,3,Bán căn nhà mặt tiền đường Trần Hưng Đạo trung tâm quy nhơn. giá tốt nhất,https://alonhadat.com.vn/ban-can-nha-mat-tien-duong-tran-hung-dao-trung-tam-quy-nhon-gia-tot-nhat-17687173.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Không rõ,Đường trước nhà 3,1.89,36.34615384615385,52.0,3.6,14.5,Tây,Đang cập nhật,2,2,3,"Bán nhà hẻm Hàn Mặc Tử 66 m², 77 m² và 52 m²",https://alonhadat.com.vn/ban-nha-1-me-hem-dao-tan-43m2-11757237.html
Nhà,Biệt thự/Nhà liền kề,"Biệt thự, nhà liền kề",Thành phố Quy Nhơn,Số 2,Đường Số 2,8.3,62.40601503759399,133.0,7.0,19.0,Đông,Đang cập nhật,3,6,4,Bán căn biệt thự khu đô thị kim cúc diện tích 133 m² ngang 7 m giá 8ty300,https://alonhadat.com.vn/ban-can-biet-thu-vila-khu-do-thi-kim-cuc-dt-133m2-ngang-7m-gia-8ty300-15513750.html
Đất,Đất nền/Đất ở,Đất nền/liền kề/đất dự án,Thành phố Quy Nhơn,Không rõ,Đường 10 m sát siêu thị big c. 🌈🌈 lô 1: 💫diện tích 115 m² (5x23) giá: 5ty175tr thương lượng 🌈🌈 lô 2: 💫 diện tích: 200 m² ( 3 mặt tiền đư...... << xem chi tiết >> 16 m giá: 5,5.175,45.0,115.0,5.0,23.0,Bắc,Đang cập nhật,0,0,0,"Bán đất khu biệt thự đô thị xanh vũng chua 115 m², 133 m² và 200 m²",https://alonhadat.com.vn/ban-dat-co-nha-cu-72-5m2-duong-noi-bo-o-to-ly-thai-to-huong-dong-nam-p-nguyen-van-cu-8069563.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Thành phố Quy Nhơn,Lý Thái Tổ,Đường Thanh Niên. diện tích 119 m² ngang 5 m. giá 7tỷ xx 25/05/2026 🏡 bán vài lô đất mặt đường kinh doanh Thanh Niên Trung Tâm gần biển quy nhơn 📍 vị trí: ngay ngã tư Lý Thái Tổ & Thanh Niên 📐 diện tích: 119 m² 📏 ngang: 5 m 🧭 hướng: đông nam 📒 pháp lý: sổ đỏ đầy đủ 💰 giá...... << xem chi tiết >> 14 m giá: 7,7.2,60.50420168067227,119.0,5.0,19.0,Đông,Sổ đỏ,0,0,0,Bán vài lô đất đường Thanh Niên. diện tích 119 m² ngang 5 m. giá 7tỷ xx,https://alonhadat.com.vn/ban-vai-lo-dat-duong-thanh-nien-dt-119m2-ngang-5m-gia-khoi-diem-4ty200-18584916.html
